LURN_SAK,INCIDENT_DATE,INCIDENT_REPORTED_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIP,INCIDENT_ID,REPORTING_DISTRICT,SEQ,GANG_RELATED,UNIT_ID,UNIT_NAME,DELETED
18777225,12/9/18 11:15,12/9/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"18400 S AVALON BLVD, CARSON, CA",18400 S AVALON BLVD,CARSON,,918-12926-1612,1612,12926,NO,CA0190016,CARSON,N
18524981,3/21/18 17:04,3/21/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"SANTA FE AVE AND CENTER ST, WALNUT PARK, CA  90255",SANTA FE AVE AND CENTER ST,WALNUT PARK,90255,918-04284-2178,2178,4284,NO,CA01900V3,CENTURY,N
18729124,10/17/18 11:00,10/17/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"MASON ST AND NORDOFF ST, LOS ANGELES, CA",MASON ST AND NORDOFF ST,LOS ANGELES,,918-00244-6153,6153,244,NO,CA01900V6,METROLINK BUREAU,N
18541540,4/8/18 6:44,4/8/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"5900 KAUFFMAN AVE, TEMPLE CITY, CA  91780",5900 KAUFFMAN AVE,TEMPLE CITY,91780,918-04311-0521,521,4311,NO,CA0190005,TEMPLE,N
18665332,8/12/18 9:23,8/12/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"61ST ST AND COMPTON AVE, LOS ANGELES, CA",61ST ST AND COMPTON AVE,LOS ANGELES,,918-11639-2170,2170,11639,NO,CA01900V3,CENTURY,N
18609313,6/13/18 13:31,6/13/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"FLORENCE AVE AND GRAHAM AVE, LOS ANGELES, CA",FLORENCE AVE AND GRAHAM AVE,LOS ANGELES,,918-08671-2173,2173,8671,NO,CA01900V3,CENTURY,N
18727783,10/16/18 4:20,10/16/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"10600 IMPERIAL HWY, NORWALK, CA",10600 IMPERIAL HWY,NORWALK,,918-15405-0451,451,15405,NO,CA0190004,NORWALK,N
18716306,10/4/18 3:45,10/4/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"12200 IMPERIAL HWY, NORWALK, CA  90650",12200 IMPERIAL HWY,NORWALK,90650,918-14732-0452,452,14732,NO,CA0190004,NORWALK,N
18463741,1/21/18 22:05,1/21/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"KAUFFMAN AVE AND LAS TUNAS DR, TEMPLE CITY, CA  91780",KAUFFMAN AVE AND LAS TUNAS DR,TEMPLE CITY,91780,918-00897-0521,521,897,NO,CA0190005,TEMPLE,N
18791128,12/25/18 7:13,12/25/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"2000 HACIENDA HEIGHTS, HACIENDA HEIGHTS, CA",2000 HACIENDA HEIGHTS,HACIENDA HEIGHTS,,918-16731-1476,1476,16731,NO,CA0190014,INDUSTRY,N
